step,gini
456,0.092031
457,0.089368
458,0.100069
459,0.100101
460,0.095990
461,0.096162
462,0.111932
463,0.111775
464,0.110919
465,0.113662
466,0.103279
467,0.096605
468,0.105502
469,0.104757
470,0.109769
471,0.107937
472,0.098388
473,0.102152
474,0.110263
475,0.103618
476,0.105159
477,0.109316
478,0.120229
479,0.124071
480,0.114167
481,0.121081
482,0.122828
483,0.122622
484,0.130940
485,0.137717
486,0.146442
487,0.149475
488,0.159743
489,0.141966
490,0.149605
491,0.151722
492,0.148548
493,0.138640
494,0.143704
495,0.155083
496,0.135532
497,0.137952
498,0.124275
499,0.118508
500,0.117872
501,0.122048
502,0.114493
503,0.120620
504,0.120082
505,0.132455
506,0.131755
507,0.136883
508,0.138703
509,0.144777
510,0.149970
511,0.151286
512,0.158234
513,0.161636
514,0.163153
515,0.163637
516,0.162388
517,0.156801
518,0.159707
519,0.163518
520,0.165648
521,0.166702
522,0.172466
523,0.167373
524,0.162911
525,0.168655
526,0.168286
527,0.160158
528,0.147052
529,0.141643
530,0.141876
531,0.146953
532,0.156062
533,0.144592
534,0.137427
535,0.124176
536,0.123775
537,0.131484
538,0.133222
539,0.143024
540,0.153346
541,0.149546
542,0.143424
543,0.142929
544,0.143496
545,0.145499
546,0.137332
547,0.146208
548,0.148817
549,0.148769
550,0.140470
551,0.140159
552,0.123545
553,0.110101
554,0.104916
555,0.107859
556,0.113081
557,0.123001
558,0.111841
559,0.123074
560,0.122972
561,0.121463
562,0.135021
563,0.136262
564,0.139422
565,0.126430
566,0.129603
567,0.125857
568,0.117170
569,0.126555
570,0.134926
571,0.132940
572,0.136712
573,0.127796
574,0.144278
575,0.135095
576,0.137815
577,0.148304
578,0.154363
579,0.166707
580,0.159763
581,0.158429
582,0.154175
583,0.164572
584,0.159863
585,0.188333
586,0.191558
587,0.190820
588,0.194045
589,0.201734
590,0.203799
591,0.196321
592,0.202700
593,0.197462
594,0.191933
595,0.205909
596,0.202475
597,0.217474
598,0.224139
599,0.220749
600,0.217837
601,0.209270
602,0.203816
603,0.220682
604,0.217232
605,0.214897
606,0.213659
607,0.217578
608,0.208513
609,0.217250
610,0.220150
611,0.217364
612,0.217022
613,0.225773
614,0.216378
615,0.205830
616,0.208729
617,0.200980
618,0.203491
619,0.189532
620,0.188336
621,0.182631
622,0.161627
623,0.159512
624,0.164593
625,0.166556
626,0.167791
627,0.183445
628,0.191762
629,0.184552
630,0.172538
631,0.175926
632,0.170373
633,0.171625
634,0.165286
635,0.161147
636,0.148265
637,0.138231
638,0.149829
639,0.153123
640,0.142833
641,0.140343
642,0.129803
643,0.130299
644,0.119932
645,0.116151
646,0.118966
647,0.126711
648,0.126477
649,0.121927
650,0.121246
651,0.118484
652,0.115984
653,0.129626
654,0.124973
655,0.119022
656,0.131264
657,0.135064
658,0.120747
659,0.108775
660,0.110914
661,0.115833
662,0.126652
663,0.138190
664,0.140023
665,0.134095
666,0.128895
667,0.123611
668,0.112297
669,0.108470
670,0.124677
671,0.111220
672,0.108897
673,0.114643
674,0.117932
675,0.116081
676,0.110848
677,0.117988
678,0.126276
679,0.110367
680,0.100681
681,0.111164
682,0.106135
683,0.108322
684,0.107372
685,0.105902
686,0.103601
687,0.124613
688,0.132638
689,0.130807
690,0.134941
691,0.128081
692,0.122268
693,0.130129
694,0.124339
695,0.128947
696,0.138208
697,0.136306
698,0.149300
699,0.147542
700,0.139314
701,0.127038
702,0.141211
703,0.145224
704,0.137118
705,0.132655
706,0.130982
707,0.134297
708,0.135149
709,0.127525
710,0.128416
711,0.126319
712,0.132049
713,0.136575
714,0.137467
715,0.139591
716,0.136102
717,0.125138
718,0.126678
719,0.126673
720,0.139706
721,0.133808
722,0.138827
723,0.152019
724,0.147903
725,0.162367
726,0.175281
727,0.174125
728,0.182951
729,0.170741
730,0.173959
731,0.175269
732,0.177160
733,0.163798
734,0.180653
735,0.175974
736,0.184935
737,0.185488
738,0.190838
739,0.197741
740,0.191272
741,0.188359
742,0.175081
743,0.175050
744,0.173201
745,0.190138
746,0.200806
747,0.210293
748,0.195024
749,0.198718
750,0.185317
751,0.174846
752,0.167681
753,0.163947
754,0.152459
755,0.142515
756,0.133905
757,0.122481
758,0.118861
759,0.118092
760,0.110113
761,0.114208
762,0.113198
763,0.120090
764,0.122036
765,0.119096
